"month","year","cumSurvival","mortality","cumMortality"
0,0,1,0,0
1,0.0833333333333333,0.979751918734412,0.0202480812655881,0.0202480812655881
2,0.166666666666667,0.960163425929792,0.0195884928046203,0.0398365740702084
3,0.25,0.941208138748838,0.0189552871809532,0.0587918612511615
4,0.333333333333333,0.92286090937179,0.0183472293770487,0.0771390906282102
5,0.416666666666667,0.905097759529447,0.0177631498423425,0.0949022404705527
6,0.5,0.887895818882856,0.017201940646591,0.112104181117144
7,0.583333333333333,0.871233267002801,0.0166625518800549,0.128766732997199
8,0.666666666666667,0.855089278719394,0.0161439882834075,0.144910721280606
9,0.75,0.839443972627858,0.0156453060915364,0.160556027372142
10,0.833333333333333,0.824278362551298,0.0151656100765596,0.175721637448702
11,0.916666666666667,0.809574311774823,0.0147040507764751,0.190425688225177
12,1,0.795314489877984,0.0142598218968384,0.204685510122016
1,1.08333333333333,0.781482332004192,0.0138321578737922,0.218517667995808
2,1.16666666666667,0.768062000416584,0.0134203315876081,0.231937999583416
3,1.25,0.755038348199897,0.0130236522166873,0.244961651800103
4,1.33333333333333,0.742396884977213,0.012641463222684,0.257603115022787
5,1.41666666666667,0.730123744519132,0.0122731404580806,0.269876255480868
6,1.5,0.718205654130972,0.0119180903881605,0.281794345869028
7,1.58333333333333,0.706629905711078,0.0115757484198938,0.293370094288922
8,1.66666666666667,0.695384328380308,0.0112455773307695,0.304615671619692
9,1.75,0.684457262589202,0.0109270657911061,0.315542737410798
10,1.83333333333333,0.673837535615389,0.0106197269738131,0.326162464384611
11,1.91666666666667,0.663514438369395,0.0103230972459943,0.336485561630605
12,2,0.653477703432218,0.0100367349371765,0.346522296567782
1,2.08333333333333,0.643717484252924,0.00976021917929482,0.356282515747076
2,2.16666666666667,0.634224335439019,0.00949314881390495,0.365775664560981
3,2.25,0.62498919407662,0.00923514136239889,0.37501080592338
4,2.33333333333333,0.616003362021338,0.0089858320552817,0.383996637978662
5,2.41666666666667,0.6072584891045,0.0087448729168379,0.3927415108955
6,2.5,0.598746557202744,0.00851193190175592,0.401253442797256
7,2.58333333333333,0.590459865122231,0.0082866920805128,0.409540134877769
8,2.66666666666667,0.582391014251704,0.00806885087052767,0.417608985748296
9,2.75,0.574532894941411,0.00785811931029301,0.425467105058589
10,2.83333333333333,0.566878673567534,0.00765422137387695,0.433121326432466
11,2.91666666666667,0.559421780244177,0.00745689332335631,0.440578219755823
12,3,0.552155897147277,0.00726588309690035,0.447844102852723
1,3.08333333333333,0.545074947416901,0.00708094973037587,0.454925052583099
2,3.16666666666667,0.538173084606428,0.00690186281047322,0.461826915393572
3,3.25,0.531444682648935,0.00672840195749302,0.468555317351065
4,3.33333333333333,0.524884326312897,0.0065603563360378,0.475115673687103
5,3.41666666666667,0.518486802120919,0.0063975241919777,0.481513197879081
6,3.5,0.512247089706768,0.00623971241415144,0.487752910293232
7,3.58333333333333,0.506160353587398,0.00608673611937027,0.493839646412602
8,3.66666666666667,0.500221935328026,0.00593841825937147,0.499778064671974
9,3.75,0.494427346079563,0.00579458924846349,0.505572653920437
10,3.83333333333333,0.488772259468888,0.00565508661067476,0.511227740531112
11,3.91666666666667,0.483252504823594,0.00551975464529414,0.516747495176406
12,4,0.477864060713834,0.00538844410976036,0.522135939286166
1,4.08333333333333,0.472603048794912,0.0052610119189212,0.527396951205088
2,4.16666666666667,0.467465727935172,0.00513732085974011,0.532534272064828
3,4.25,0.462448488614584,0.00501723932058823,0.537551511385416
4,4.33333333333333,0.457547847580276,0.00490064103430832,0.542452152419724
5,4.41666666666667,0.452760442745988,0.00478740483428786,0.547239557254012
6,4.5,0.448083028323165,0.00467741442282255,0.551916971676835
7,4.58333333333333,0.443512470172068,0.00457055815109747,0.556487529827932
8,4.66666666666667,0.439045741361921,0.00446672881014715,0.560954258638079
9,4.75,0.434679917929719,0.0043658234322021,0.565320082070282
10,4.83333333333333,0.430412174827866,0.00426774310185296,0.569587825172134
11,4.91666666666667,0.426239782051355,0.00417239277651016,0.573760217948645
12,5,0.422160100935703,0.00407968111565271,0.577839899064297
1,5.08333333333333,0.4181705806173,0.00398952031840322,0.5818294193827
2,5.16666666666667,0.414268754648318,0.00390182596898137,0.585731245351682
3,5.25,0.410452237758697,0.00381651688962081,0.589547762241303
4,5.33333333333333,0.406718722758141,0.00373351500055674,0.593281277241859
5,5.41666666666667,0.403065977571429,0.00365274518671133,0.596934022428571
6,5.5,0.399491842400702,0.00357413517072758,0.600508157599298
7,5.58333333333333,0.395994227008678,0.00349761539202331,0.604005772991322
